catalouge_id,scan_ref,ext_ref_no,general_shape,scanned_by,PSSA_metric_exterior,PSSA_metric_interior,precision_score_exterior,precision_score_interior,surface_variability_exterior_rmsd,surface_variability_interior_rmsd,geometric_mean_exterior_score,geometric_mean_interior_score,geometric_mean_exterior_RMSD_median,geometric_mean_exterior_C_median,geometric_mean_interior_RMSD_median,geometric_mean_interior_C_median,quality_score_exterior_metric,quality_score_interior_metric,quality_score_exterior_imperial,quality_score_interior_imperial,quality_exterior_metric_mean_rmsd,quality_exterior_metric_mean_c,quality_exterior_metric_stdev_c,quality_interior_metric_mean_rmsd,quality_interior_metric_mean_c,quality_interior_metric_stdev_c,quality_exterior_imperial_mean_rmsd,quality_exterior_imperial_mean_c,quality_exterior_imperial_stdev_c,quality_interior_imperial_mean_rmsd,quality_interior_imperial_mean_c,quality_interior_imperial_stdev_c
IV015,a,E15,Circular,Max Fomitchev-Zamilov,0.0962923402106491,0.0926032058420293,106.728668279002,116.467658017238,0.0967964555406025,0.0926610738016931,0.0463622356562526,0.0850650907777545,0.0867709643011636,0.0247716147026509,0.0986193773441585,0.0247716147026509,168.280793291957,119.92564932351,6.62523165998366,4.72148480643153,0.0939214259091407,0.0427219900323102,0.0316373773505058,0.0983811613654868,0.0138011957754345,0.00774329218258896,3.69769593018546,1.68196901977106,1.24556671002715,3.87327616107535,0.543354457798432,0.304854187557746
IV016,a,M16,Circular,Max Fomitchev-Zamilov,0.245043377001885,0.0461213517039986,16.7580415738498,469.771507124126,0.244280257010834,0.0461377768215551,0.191875263759998,0.187281657050576,0.186920337308765,0.196961536518919,0.0479534520836341,0.196961536518919,549.451830982289,178.016220833896,21.6319735309558,7.00851641585257,0.206934849727509,0.210509121523817,0.132007859730963,0.0769919727712659,0.0403491339383445,0.0606751141242856,8.14704572725701,8.28776516530484,5.19716263839397,3.03118166720201,1.58854943806602,2.38878531058454
IV018,a,E18,Circular,Max Fomitchev-Zamilov,0.0505750804935481,0.0252915025502201,394.111022334249,1566.51720939851,0.050372175685203,0.0252657628155973,0.0287736716685855,0.0213457752960227,0.0153136515200489,0.0540644522443015,0.00872377412115423,0.0540644522443015,115.669593656715,60.5654364618877,4.55392346922422,2.38446729004816,0.0169005861965021,0.0611453328921189,0.0376236745680937,0.00924493755073287,0.0350345584435211,0.0162859404676337,0.665377768614907,2.40729787049601,1.4812478301133,0.363974115866108,1.37931406937727,0.641179104804785
IV019,a,M19,Circular,Max Fomitchev-Zamilov,0.0882539838086166,0.0104236052412493,128.461486837305,9271.50117710716,0.0882294410387965,0.0103854416760737,0.0277480263233195,0.0425055678318392,0.0859455806123471,0.00895861031310569,0.00752964446422901,0.00895861031310569,102.987210819557,23.013296442363,4.05461678868704,0.906035782265476,0.0861766553222983,0.0104483334325579,0.00636222206470079,0.00832990415646425,0.00896518443502826,0.0057182078508705,3.39278353770442,0.411351932073148,0.250481318909476,0.327949159630413,0.352960207725506,0.225126414909557
MV001,a,LDUCE-UC10850,Circular,Károly Póka,0.666948264317544,0.323587585648248,1.92573325920375,9.72748407325898,0.720612737529595,0.320626737396113,0.449742319090648,0.55285301653897,0.736142770424211,0.274767561005149,0.357548845388946,0.274767561005149,1265.67824795828,539.553968890888,49.8298791899421,21.2422937106312,0.686973417549489,0.361923292066923,0.216781538341864,0.382777095932995,0.0844195423590873,0.0723573305988055,27.0462121462651,14.248956201004,8.53471084267302,15.0699725445916,3.3236058246315,2.84871534140803
MV003,a,LDUCE-UC15604,Circular,"Adam Young, Károly Póka",0.200355596004602,0.0362877457973581,23.7162891546308,747.709832886943,0.205341453408405,0.036570715222522,0.133117565785347,0.0926953084530455,0.143411523180706,0.123562499913537,0.0597225592444928,0.123562499913537,404.008900782981,135.362233927985,15.905870824716,5.32922468596815,0.177031152972307,0.159059947589547,0.0679178002211267,0.0498556953689754,0.0584738208798858,0.0270327176791235,6.96973419563501,6.26220604259524,2.67393058648578,1.9628237122461,2.30212017542319,1.06428079829886
MV003,b,LDUCE-UC15604,Circular,Max Fomitchec-Zamilov,0.209773315008876,0.0664169010034685,20.4035618457388,223.0939001283,0.221384395339718,0.0669508587748059,0.163435544221644,0.142392270828482,0.137629955024401,0.194079676261531,0.0434355848070906,0.194079676261531,465.891992254165,234.745629439752,18.3422143242457,9.24195890560596,0.167410421436267,0.216954920606677,0.0815266502112211,0.0471015308921177,0.106845760609978,0.0807983379376561,6.59096503298796,8.54153691977694,3.20971237148079,1.85439198137576,4.20652827979089,3.18103864443931
MV004,a,LDUCE-UC15606,Circular,Károly Póka,0.118770211641995,0.0972944526388087,71.9495868220017,108.781047624459,0.117892410557462,0.0958789747707972,0.0658490026881938,0.188375580173959,0.113716991064343,0.0381305477259447,0.0891746880407924,0.0381305477259447,208.820617577799,202.21506287444,8.22128859609972,7.96122724687297,0.117912286308728,0.04917975762889,0.0417285736401812,0.108323068679102,0.052349181450206,0.0415428127451313,4.64221850320326,1.93621197582516,1.6428581170713,4.26469004620312,2.06099250861276,1.63554469205709
MV004,b,LDUCE-UC15606,Circular,Max Fomitchev-Zamilov,0.120437537163627,0.11104894753125,70.0225147840045,83.2758860465812,0.119503643916194,0.109582289244001,0.072371531412538,0.278931631457682,0.123456693985309,0.0424249053649472,0.0743490688900972,0.0424249053649472,219.276005958804,570.105567073354,8.6329182821987,22.4451131862347,0.123748854438974,0.0576124176623003,0.0379147338575291,0.0723401050087128,0.199803116052058,0.297962346012583,4.87200477414787,2.26820664460653,1.4927068634443,2.84803716820352,7.86626865928114,11.73080735875
MV004,c,LDUCE-UC15606,Circular,Max Fomitchev-Zamilov,0.120901454164217,0.114345035750411,70.0335672361983,78.7097073575044,0.119494213720939,0.112716073389397,0.0717517955210189,0.260606945908335,0.121741908672224,0.0422888076640178,0.075006627667154,0.0422888076640178,190.697796282276,589.330920058925,7.50779130941285,23.2020172558119,0.123638061200642,0.0425542008882286,0.0245055341934059,0.0845909114403998,0.240083920221304,0.264656088397221,4.8676428332754,1.67536314438965,0.964785331747808,3.33035264249968,9.45212794750474,10.4195366658074
MV005,a,LDUCE-UC15624,Circular,Karoly Poka,0.0949026502244977,0.0861334211925482,113.587690417034,133.613274039683,0.0938284118444936,0.0865117698755102,0.0528641267581332,,0.0899656509637504,0.0310631431881264,,0.0310631431881264,150.424992932123,122.453616124398,5.92224701423696,4.82101111217916,0.0954325144834943,0.0334415262111229,0.0215509522375053,0.0914077871085055,0.0171616214531823,0.0138842075627102,3.75718763846662,1.31659623108453,0.848463144685808,3.59873371924057,0.675654752773932,0.546622640164656
MV006,a,LDUCE-UC15724,Circular,Adam Young and Károly Póka,0.230593963055124,0.0619187956706211,10.9604161695283,274.106434566206,0.302055311946868,0.0604004792698275,0.142360041058456,0.26890826630047,0.181123260772441,0.111892758576313,0.0597194984737368,0.111892758576313,521.746291290368,225.606331689224,20.5412036627309,8.8821438392379,0.18047855823094,0.164297313955143,0.176970419104285,0.0668843771531171,0.0733808860294525,0.085341068506654,7.10545888540793,6.46840168014537,6.96734309717763,2.63324461695594,2.88901282106815,3.35988640121382
MV007,a,LDUCE-UC15730,Circular,Adam Young and Károly Póka,0.23645380685415,,18.8189599391381,,0.230516592454619,,0.226776418509049,,0.199019553838496,0.258404478353542,,,418.06999736112,,16.459457603107,,0.18433259497487,0.14635090462297,0.0873864977632798,,,,7.25719269742012,5.76184975009679,3.4404151555901,,,
MV008,a,LDUCE-UC15731,Circular,Adam Young and Károly Póka,0.0709298377272588,,199.587181177166,,0.0707837680337418,,0.0393208003763943,,0.0730541625791062,0.0211640964409939,,,118.408295030709,,4.6617464161885,,0.069603440636704,0.0335454044296842,0.0152594499643204,,,,2.7402944182111,1.32068592693711,0.600766071040289,,,
MV009,a,LDUCE-UC17722,Circular,Károly Póka,0.29474103792592,0.156548148575686,14.9707057268535,63.0919735965752,0.258451384600148,0.125896293289732,0.149901106629284,0.186495606596469,0.137760699819793,0.163111408392073,0.154937109205534,0.163111408392073,539.025071127728,647.319594525732,21.2214709528058,25.4850371684375,0.214109325253923,0.215200224019088,0.109715521854716,0.193308285331298,0.212119206651115,0.241892102543319,8.42950554617947,8.47245433965391,4.31951106697237,7.61056652432173,8.35115437777505,9.52331626634074
MV010,a,LDUCE-UC18947,Circular,Karoly Poka,0.723774097267549,0.308412901279812,1.17342298642531,10.5478201833953,0.923150914552547,0.307906346995523,0.463010796546919,1.07824797449299,0.502425156072914,0.426688423395545,0.325852891957952,0.426688423395545,2806.37638167129,637.113949884369,110.487318784037,25.0832399183426,0.622960149111737,1.40188753033382,0.781528702225726,0.323713808040291,0.206757988141184,0.106642153702893,24.526003366544,55.1924522579957,30.768863159497,12.7446449939271,8.14008266891724,4.19851225549827
MV011,a,LDUCE-UC30218,Circular,Adam Young and Károly Póka,0.731226404756072,0.158611155564033,1.81101887960729,39.6816299759836,0.743085028108076,0.15874689827929,0.505811128556688,0.456604216351909,0.794729868662462,0.32192686831109,0.154557103447754,0.32192686831109,1143.23719400175,271.164300162136,45.0093626515683,10.6757656138133,0.753109723981753,0.247149270665954,0.142978199354044,0.162227108925831,0.0679543522240444,0.0409828390122598,29.650005144134,9.73029150104566,5.62906600638865,6.38689750112087,2.67536964249585,1.61349847019657
MV012,a,LDUCE-UC41050,Elliptical,Adam Young and Károly Póka,0.384343658014145,0.241511252283283,6.51426438124065,17.1474467887484,0.391802596524657,0.241490620870548,0.278469968967098,0.252686303025538,0.370582611492939,0.209253001116632,0.0983853664377327,0.209253001116632,741.730277206132,433.115738603088,29.2019951866331,17.0518099403774,0.398020951333533,0.202144335129927,0.141564990742672,0.111664563571819,0.215867793008936,0.105583382022334,15.6701246560963,7.95844268849873,5.57342784203807,4.39624503427885,8.49873659754109,4.15682830855748
MV013,a,LDUCE-UC41053,Circular,Károly Póka,0.509257977599418,0.398578117273321,3.84215665492954,6.28981781157837,0.510167120892868,0.398731886045532,0.304430919723174,0.132716101815304,0.141092807500377,0.656859740233393,0.0246607561926146,0.656859740233393,444.945115611544,669.83036076231,17.517533696138,26.3712882862482,0.141376601291962,0.187385000929969,0.116183513389612,0.0291357052574051,0.410489343093298,0.230205312411607,5.56601093052469,7.37736622511298,4.57415654050036,1.14707562955457,16.1610064865175,9.06320617017621
MV014,a,LDUCE-UC41108,Circular,Károly Póka,0.15413677166251,0.0671719300370678,54.2645048854829,242.623768867007,0.135750699962195,0.0641997486355887,0.066499762733036,0.241159940860505,0.0856035709748452,0.0516592753455292,0.0732865369059107,0.0516592753455292,249.531259525506,124.885024013765,9.82407064064514,4.91673588392432,0.0956219622180922,0.0795890761573361,0.0743202211500782,0.0845128074207909,0.0201259293786845,0.0202462872142895,3.76464621472251,3.13342988722194,2.92599453870069,3.32727767943728,0.792359852231745,0.797098352255297
MV015,a,LDUCE-UC4354,Circular,Adam Young and Károly Póka,0.189484395616243,0.30746939549391,26.2040937518731,9.33022005445551,0.195350905090815,0.327381441500559,0.147331354274157,0.476711650337421,0.106017439755155,0.204744879732881,0.265088383187643,0.204744879732881,473.858906257002,648.314264882982,18.6558725252288,25.5241974398695,0.123442498897093,0.234345055242863,0.116071352117046,0.274472589286598,0.265237309723493,0.108604365872892,4.85994352582844,9.22618825941704,4.56974073998333,10.8060132874723,10.4424194075449,4.27576474485233
MV015,b,LDUCE-UC4354,Circular,Max Fomitchev-Zamilov,0.138368116599237,0.255250883148884,50.2197509301818,14.314765600582,0.141111602149601,0.264306521778049,0.071041296460875,0.503136490606163,0.117861142413775,0.0428204385218318,0.245508270284631,0.0428204385218318,235.975530369759,600.194261743121,9.29038022821045,23.6297081042529,0.125033723861484,0.0590160404557195,0.0519257660525551,0.257008018756406,0.208265269027219,0.134920973959497,4.92259021179903,2.32346741434572,2.0443226020657,10.1184313992416,8.19942446812851,5.31185223688279
MV015,c,LDUCE-UC4354,Circular,Max Fomitchev-Zamilov,0.139151459146809,0.277175092161171,51.6487409239542,12.3184543883236,0.139145809131535,0.284919314056212,0.0704811198325164,0.480148540457282,0.118482763143568,0.0419266745731292,0.22734187077113,0.0419266745731292,236.630301468246,667.597823970084,9.31615863183499,26.2833930894846,0.127138606875118,0.0568979206166524,0.0525937739764753,0.225063067371735,0.238931617756291,0.203603138842057,5.00545966653409,2.24007682446966,2.07062214083123,8.86075546873195,9.40676168422696,8.01587593652567
MV016,a,LDUCE-UC4356,Elliptical,Adam Young and Károly Póka,0.65822818832091,0.185812492242775,2.21985245521288,27.5808098169919,0.671178359383758,0.190412955146593,0.378065481795527,0.329400537554334,0.506027341404599,0.282462026910518,0.115815327513278,0.282462026910518,1289.61072178601,423.658271244592,50.7721030777872,16.6794685047267,0.552699307300559,0.446041012140468,0.290870402344979,0.116389769235022,0.20381647242282,0.103452029586749,21.7598269983537,17.5606792520714,11.451596827362,4.58227685375976,8.02427490093367,4.07291675003328
MV016,b,LDUCE-UC4356,Elliptical,Max Fomitchev-Zamilov,0.6928432508582,0.289850500218269,2.12263159183981,11.7194858971843,0.686376946209999,0.292109525743432,0.405675583316588,0.422418880142923,0.57183912251685,0.287795417310582,0.144056003436113,0.287795417310582,1064.51546186947,817.974678838803,41.9100801853471,32.2037449033516,0.601923942817418,0.304698017899995,0.157893501152054,0.154128262861593,0.350706532852408,0.313139883124801,23.697805821116,11.9959914345246,6.21628292970647,6.06804512168722,13.8073512690526,12.3283485126117
MV016,c,LDUCE-UC4356,Elliptical,Max Fomitchev-Zamilov,0.674336753847395,0.394166030768357,2.27333050155584,2.76269093599795,0.663236945508728,0.601636046285051,0.402441278115919,0.436302771168976,0.56893187139195,0.284672015184042,0.154523128287482,0.284672015184042,1061.94666334557,729.952510350728,41.8089463305814,28.7383033277592,0.591399760642187,0.297040698249414,0.173506204453968,0.164497854650864,0.323761132038663,0.241693523661201,23.283467716459,11.6945219941493,6.83095661997317,6.47629698738998,12.7465081444754,9.51549819589385
MV017,a,LDUCE-UC4379,Circular,Károly Póka,0.17727738847031,0.0540792884029289,29.6937876164771,342.37488435764,0.183513154688085,0.0540441948006213,0.118806877311124,,0.165874704409642,0.0850947957776733,0,0.0850947957776733,342.387078594583,79.5236949046665,13.4798135229766,3.13085582076621,0.165342072164953,0.111889936732279,0.065155069697351,0.0421055412765429,0.0244726388269253,0.0129455148011983,6.5095339153414,4.40511799814352,2.56516160949168,1.65769937061162,0.963490237879931,0.509666212274656
MV018,a,LDUCE-UC4649,Elliptical,"Adam Young, Karoly Poka",0.265045053973664,0.108116979724373,13.4326144527004,85.6850511667602,0.272847340616935,0.108030769556838,0.117200008414816,0.194354925404155,0.301065688669062,0.0456240697276254,0.0791761533955669,0.0456240697276254,495.780418407821,155.695847311825,19.5189246507578,6.12976107825127,0.295160538713492,0.0998945750332702,0.100725304661059,0.082639935733554,0.0467437203343819,0.0263121912438889,11.6204999252041,3.93285940851735,3.96556531703635,3.25354253382359,1.84030494393665,1.03591360049103
MV018,b,LDUCE-UC4649,Elliptical,Max Fomitchev-Zamilov,0.274795353986625,0.135086954748149,13.0833333572604,65.0868451036341,0.276465406297652,0.123951957455391,0.135039069072963,0.227256543640456,0.301563964389437,0.0604699245581715,0.101229555258044,0.0604699245581715,477.314207730377,291.494197106998,18.7919080897657,11.4761556895222,0.305552746717615,0.0681958908779396,0.103565570134822,0.116783231522095,0.124224659663198,0.0504863059217054,12.0296421935472,2.68487904345357,4.07738685276497,4.59776750334802,4.89073727340607,1.98765091276813
